FAM_PROF;COD_C;DEN_C;NIVEL;COD_ECP;DEN_ECP
Actividades Físicas y Deportivas;AFD_C_001_3B;Auxiliar de operaciones en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1631_1;Asistir a los usuarios en la instalación deportiva
Actividades Físicas y Deportivas;AFD_C_001_3B;Auxiliar de operaciones en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1632_1;Preparar la instalación deportiva para el desarrollo de las actividades
Actividades Físicas y Deportivas;AFD_C_001_3B;Auxiliar de operaciones en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1633_1;Desarrollar operaciones auxiliares preventivas y de inicio de la asistencia en caso de emergencia en la instalación deportiva
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC0969_1;Realizar operaciones auxiliares administrativas
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC0970_1;Realizar operaciones auxiliares de transmisión y recepción de información operativa
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC0971_1;Realizar operaciones auxiliares de reproducción y archivo
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC1329_1;Proporcionar atención e información operativa, estructurada y protocolarizada al cliente
Actividades Físicas y Deportivas;AFDA0511;Operaciones auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1631_1;Realizar operaciones auxiliares de control de acceso y circulación en la instalación deportiva y asistir a los usuarios en el uso de la misma
Actividades Físicas y Deportivas;AFDA0511;Operaciones auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1632_1;Realizar la asistencia operativa a los técnicos deportivos durante el desarrollo de sus actividades en instalaciones deportivas
Actividades Físicas y Deportivas;AFDA0511;Operaciones auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1633_1;Realizar operaciones preventivas para mejorar la seguridad en la instalación deportiva e iniciar la asistencia en caso de emergencia
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC0719_2;Alimentar y realizar el manejo general y los primeros auxilios al ganado equino
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC0720_2;Efectuar la higiene, cuidados y mantenimiento físico del ganado equino
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC0721_2;Realizar el manejo del ganado equino durante su reproducción y recría
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC1136_2;Realizar las operaciones auxiliares de preparación y acabado del herrado de equinos
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC0722_2;Preparar y acondicionar el ganado equino para su presentación en exhibiciones y concursos
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1080_2;Dominar las técnicas básicas de monta a caballo
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1122_2;Desbravar potros
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1123_2;Domar potros a la cuerda
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1124_2;Realizar la monta inicial de potros
Actividades Físicas y Deportivas;AFD_C_003_4B;Guía ecuestre en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFD_C_003_4B;Guía ecuestre en el medio natural;2;UC1080_2;Dominar las técnicas básicas de monta a caballo
Actividades Físicas y Deportivas;AFD_C_003_4B;Guía ecuestre en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0272_2;Asistir como primer interviniente en caso de accidente o situación de emergencia
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0353_2;Organizar itinerarios de bicicleta y vehículos de movilidad personal para su ejecución por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0505_2;Plantear itinerarios por baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0506_2;Ejecutar las técnicas de progresión en baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0507_2;Conducir a participantes por itinerarios de baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0508_2;Conducir bicicletas y vehículos de movilidad personal por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0509_2;Dinamizar a participantes en bicicleta y en vehículos de movilidad personal por itinerarios urbanos, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
